Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
99,Entry long,2026-07-30 15:45,M4 Long,28015,1,56030,604.26,1.08,1.24,789.38,1.41,-39.62,-0.07,4054.74,0.41,405
100,Exit long,2026-07-31 15:40,M4 SL,28554.5,1,57254,-146.24,-0.26,1.24,196.88,0.34,-145.62,-0.25,3908.5,0.39,9
100,Entry long,2026-07-31 15:31,M4 Long,28627,1,57254,-146.24,-0.26,1.24,196.88,0.34,-145.62,-0.25,3908.5,0.39,9
101,Exit short,2026-08-03 15:34,M4 SL,28388.75,1,56697.5,-81.24,-0.14,1.24,70.88,0.13,-80.62,-0.14,3827.26,0.38,3
101,Entry short,2026-08-03 15:31,M4 Short,28348.75,1,56697.5,-81.24,-0.14,1.24,70.88,0.13,-80.62,-0.14,3827.26,0.38,3
102,Exit short,2026-08-04 15:30,RCL TP,29210.25,1,58469,47.26,0.08,1.24,47.88,0.08,-32.12,-0.05,3874.52,0.39,3
102,Entry short,2026-08-04 15:27,Reclaim Short C1,29234.5,1,58469,47.26,0.08,1.24,47.88,0.08,-32.12,-0.05,3874.52,0.39,3
103,Exit long,2026-08-04 15:44,M4 Locked Profit,29396,1,58608.5,182.26,0.31,1.24,295.88,0.50,-24.12,-0.04,4056.78,0.41,14
103,Entry long,2026-08-04 15:30,M4 Long,29304.25,1,58608.5,182.26,0.31,1.24,295.88,0.50,-24.12,-0.04,4056.78,0.41,14
104,Exit long,2026-08-05 15:36,M4 SL,29964.75,1,59992.5,-64.24,-0.11,1.24,52.88,0.09,-63.62,-0.11,3992.54,0.40,3
104,Entry long,2026-08-05 15:33,M4 Long,29996.25,1,59992.5,-64.24,-0.11,1.24,52.88,0.09,-63.62,-0.11,3992.54,0.40,3
105,Exit long,2026-08-06 15:32,M1 SL,29295.25,1,58703,-113.74,-0.19,1.24,38.38,0.07,-113.12,-0.19,3878.8,0.39,7
105,Entry long,2026-08-06 15:25,M1 Long,29351.5,1,58703,-113.74,-0.19,1.24,38.38,0.07,-113.12,-0.19,3878.8,0.39,7
106,Exit short,2026-08-06 15:34,M4 SL,29324.25,1,58526.5,-123.24,-0.21,1.24,43.88,0.07,-122.62,-0.21,3755.56,0.38,2
106,Entry short,2026-08-06 15:32,M4 Short,29263.25,1,58526.5,-123.24,-0.21,1.24,43.88,0.07,-122.62,-0.21,3755.56,0.38,2
